DataID,TimeStamp,DeviceID,DeviceData
17380382,2022-10-16 07:17:30.796961,18,3.4 84 1005.5 1 0
17383982,2022-10-16 08:17:30.768551,18,4.3 80 1005.7 1.3 0
17387582,2022-10-16 09:17:30.772017,18,5 79 1006 1.6 0
17391182,2022-10-16 10:17:30.768650,18,7.2 69 1006.2 2 0
17394782,2022-10-16 11:17:30.819504,18,9.4 64 1006.2 2.9 0
17398382,2022-10-16 12:17:30.782308,18,11.2 57 1006.1 3 0
17401982,2022-10-16 13:17:30.777799,18,11.7 50 1005.9 1.8 0
17405582,2022-10-16 14:17:30.275859,18,12 51 1005.8 2.4 0
17409182,2022-10-16 15:17:30.769618,18,11.9 51 1005.5 2.2 0
17412783,2022-10-16 16:17:30.805757,18,11.1 54 1005.4 2.3 0
17416383,2022-10-16 17:17:30.785232,18,10.3 57 1005.3 2.2 0
17419983,2022-10-16 18:17:30.780741,18,9.5 61 1005.3 2.4 0
